municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Candeal,Bahia,7969.0,14850513.0,447.578,17.804717836891,0.053661445904259336
Candeias,Bahia,75083.0,14850513.0,251.808,298.1755941034439,0.505591961705296
Candiba,Bahia,13425.0,14850513.0,433.642,30.958717098436036,0.0904009174632553
Cansanção,Bahia,39556.0,14850513.0,1351.891,29.25975540927486,0.2663611688027208
Canudos,Bahia,16662.0,14850513.0,3565.377,4.673278590174335,0.11219814426612737
Canápolis,Bahia,10612.0,14850513.0,460.388,23.05012293978123,0.07145881088417619
Capela do Alto Alegre,Bahia,11055.0,14850513.0,629.586,17.559157922825474,0.0744418728161108
Capim Grosso,Bahia,35228.0,14850513.0,464.776,75.79565209907568,0.2372173944428721
Caravelas,Bahia,21229.0,14850513.0,2377.889,8.927666514290616,0.14295129063891596
Caraíbas,Bahia,10260.0,14850513.0,805.629,12.735390607835617,0.06908852239649904
Cardeal da Silva,Bahia,8634.0,14850513.0,293.456,29.421787252603455,0.058139405689217605
Carinhanha,Bahia,30375.0,14850513.0,2525.906,12.025388118164335,0.20453838867384583
Casa Nova,Bahia,75815.0,14850513.0,9647.072,7.858861217165167,0.5105210843558065
Castro Alves,Bahia,25471.0,14850513.0,713.789,35.68421480297399,0.17151596042507083
Catolândia,Bahia,3560.0,14850513.0,702.504,5.067586803776206,0.023972235841280366
Catu,Bahia,50153.0,14850513.0,426.955,117.46671194856602,0.3377189730752062
Caturama,Bahia,9115.0,14850513.0,716.261,12.725808050417376,0.061378351037435545
Caém,Bahia,10729.0,14850513.0,540.908,19.83516605411641,0.07224666245536433
Central,Bahia,16849.0,14850513.0,566.974,29.717412085915754,0.11345736002520586
Chorrochó,Bahia,10929.0,14850513.0,3005.319,3.636552392607906,0.07359341727790818
Cipó,Bahia,17836.0,14850513.0,168.33,105.95853383235311,0.12010359507445972
Coaraci,Bahia,17663.0,14850513.0,274.5,64.34608378870674,0.11893865215295929
Cocos,Bahia,19817.0,14850513.0,10140.572,1.9542290119334491,0.13344320159175646
Conceição da Feira,Bahia,21499.0,14850513.0,164.798,130.45668029951818,0.14476940964935014
Conceição do Almeida,Bahia,16184.0,14850513.0,284.836,56.818660562569335,0.10897940024024759
Conceição do Coité,Bahia,71316.0,14850513.0,1015.252,70.24462891971649,0.4802258346226827
Conceição do Jacuípe,Bahia,37409.0,14850513.0,114.869,325.66662894253454,0.2519037557827127
Conde,Bahia,24434.0,14850513.0,931.106,26.24191015845672,0.16453303667018102
